country,partner,hs_code,imports
MEX,CAN,30213,1155
MEX,USA,30219,278655
MEX,USA,30281,415221
MEX,CAN,190190,3059154
MEX,USA,190190,27235702
MEX,CAN,190220,660344
USA,CAN,190420,46727772
CAN,CAN,190420,243490
USA,CAN,30341,1889892
CAN,CAN,30351,18341
CAN,USA,30351,6141859
USA,CAN,30351,1823835
USA,WLD,190420,60987240
CAN,WLD,190420,38675653
USA,WLD,30341,3193256
CAN,WLD,30351,6529225
CAN,USA,30364,108661
USA,CAN,30364,45009
CAN,CAN,30354,11733
CAN,USA,30354,604192
USA,CAN,30354,867963
USA,WLD,30351,2904198
CAN,WLD,30364,3437555
USA,WLD,30364,22450141
CAN,WLD,30354,9431893
USA,WLD,30354,18141644
CAN,USA,30432,1738698
CAN,CAN,30459,51499
CAN,USA,30459,878632
USA,CAN,30459,12034759
CAN,USA,30331,9181460
USA,CAN,30331,3320002
CAN,USA,30355,2554
USA,CAN,30355,4410
CAN,USA,30357,290
CAN,USA,30431,433241
CAN,WLD,30432,2164487
USA,WLD,30432,9755795
CAN,WLD,30459,8323074
USA,WLD,30459,71137706
CAN,WLD,30462,27153492
USA,WLD,30331,4790867
CAN,WLD,30355,1320929
USA,WLD,30355,3238347
CAN,WLD,30357,261024
USA,WLD,30357,5918474
CAN,WLD,30431,11586212
USA,WLD,30431,218376231
CAN,WLD,30433,31560
USA,MEX,190420,24978
CAN,MEX,190420,30283
USA,MEX,30354,407021
CAN,MEX,30459,11425
USA,MEX,30459,1654373
USA,WLD,30433,1739784
CAN,WLD,30461,22249972
USA,WLD,30461,869456624
MEX,WLD,30331,28576
MEX,WLD,30357,8996
MEX,WLD,30431,655546
MEX,WLD,30461,142171848
MEX,WLD,30486,56
MEX,WLD,30489,7233818
MEX,WLD,30543,2664
MEX,WLD,30549,65543
MEX,WLD,30615,48709
MEX,WLD,30617,176175539
MEX,WLD,30739,407024
CAN,WLD,30486,98403
USA,WLD,30486,647766
CAN,WLD,30489,28706995
USA,WLD,30489,487281568
CAN,WLD,30543,18649504
USA,WLD,30543,1212239
CAN,WLD,30549,1602386
USA,WLD,30549,34376467
CAN,WLD,30615,5894429
USA,WLD,30615,2009861
CAN,WLD,30617,406875018
USA,WLD,30617,5386568500
CAN,WLD,30739,8293569
USA,WLD,30739,80061682
CAN,WLD,30749,50647929
USA,WLD,30749,242326549
CAN,WLD,30830,1366198
USA,WLD,30830,2265533
CAN,WLD,40490,33605906
USA,WLD,40490,292972933
CAN,WLD,40719,4620276
USA,WLD,40719,20514083
CAN,WLD,40729,61098
USA,WLD,40729,935323
CAN,WLD,50210,76909
USA,WLD,50210,4428653
CAN,WLD,51191,22572283
USA,WLD,51191,39466772
CAN,WLD,60313,2607398
USA,WLD,60313,19760995
CAN,WLD,60315,3945374
USA,WLD,30462,363094891
CAN,WLD,30487,585275
USA,WLD,30487,231629173
CAN,WLD,10130,9441
USA,WLD,10130,2505
CAN,WLD,10190,137685
USA,WLD,10190,3050
CAN,WLD,10513,670583
USA,WLD,10513,2279153
CAN,WLD,10514,7302
USA,WLD,10514,69932
CAN,WLD,10639,2186526
USA,WLD,10639,847523
CAN,WLD,10690,4661889
USA,WLD,10690,51439751
CAN,WLD,20321,4923
USA,WLD,20321,13021
CAN,WLD,20322,676269
USA,WLD,20322,12421718
CAN,WLD,20622,1589864
USA,WLD,20622,727922
CAN,WLD,20629,21658108
